"item_id","true_label","new_itemid"
944363849,2,4153
944363850,2,2342
944363851,2,2903
944363852,1,2532
944363853,2,5825
944363854,2,4231
944363855,1,1377
944363856,1,7321
944363857,2,2854
944363858,2,2337
944363859,2,4409
944363860,1,3052
944363861,1,2351
944363862,2,3805
944363863,2,5022
944363864,1,3566
944363865,2,5792
944363866,2,6092
944363867,1,7177
944363868,2,1335
944363869,2,1010
944363870,1,358
944363871,2,3116
944363872,2,5324
944363873,1,855
944363874,2,1434
944363875,1,1685
944363876,1,469
944363877,1,1003
944363878,2,6897
944363879,2,1378
944363880,1,6248
944363881,2,5716
944363882,1,2148
944363883,1,4398
944363884,2,2671
944363885,2,1037
944363886,1,6661
944363887,1,176
944363888,1,3772
944363889,2,763
944363890,1,3927
944363891,2,1480
944363892,1,2397
944363893,2,5551
944363894,1,2176
944363895,2,1370
944363897,1,29
944363898,2,6329
944363899,1,1138
944363900,1,7233
944363902,1,6426
944363903,2,5383
944363904,2,6860
944363905,2,486
944363906,1,5687
944363907,2,84
944363908,2,3422
944363909,2,1325
944363910,1,6806
944363911,2,3741
944363912,1,3118
944363913,2,5099
944363914,2,440
944363915,2,5262
944363916,1,756
944363917,2,3368
944363918,2,4473
944363919,2,1228
944363920,2,4929
944363921,2,7050
944363922,1,339
944363923,1,1220
944363924,2,4233
944363925,2,574
944363926,2,7127
944363927,1,6164
944363928,1,2651
944363929,1,3301
944363930,1,1060
944363931,2,6137
944363932,1,3601
944363933,2,4249
944363935,2,2533
944363936,1,842
944363937,2,2191
944363938,1,875
944363939,2,3345
944363940,1,2917
944363941,1,316
944363942,1,6585
944363943,1,4378
944363944,1,1097
944363945,2,4496
944363946,1,7011
944363947,2,7115
944363948,1,4065
944363949,1,162
944363950,1,5605
944363951,2,2249
944363952,1,7078
944363953,2,5591
944363954,1,7323
944363955,2,5678
944363956,2,1149
944363957,2,2091
944363958,1,2997
944363959,2,7279
944363960,1,5812
944363961,1,5431
944363962,2,5337
944363963,1,1919
944363964,2,6421
944363965,2,3571
944363966,2,6936
944363967,2,7113
944363968,2,4878
944363969,2,3575
944363970,2,3343
944363971,1,1594
944363973,1,2291
944363974,2,6566
944363975,1,510
944363976,1,3217
944363978,2,1364
944363979,1,3588
944363980,1,5656
944363981,1,3056
944363982,2,2368
944363983,2,625
944363984,1,3812
944363985,1,4605
944363986,1,5455
944363987,1,1891
944363988,2,3826
944363989,2,2633
944363990,1,3302
944363991,1,183
944363992,1,1389
944363993,1,4410
944363994,2,4422
944363995,1,1135
944363996,1,7035
944363997,1,3835
944363998,1,945
944363999,1,1086
944364000,2,7159
944364001,2,5585
944364002,2,1666
944364003,1,501
944364004,2,1808
944364005,2,1873
944364006,1,634
944364007,2,4589
944364008,1,2523
944364009,1,81
944364010,2,3703
944364011,1,4097
944364012,1,7181
944364013,2,4821
944364014,2,3094
944364015,2,3215
944364016,2,6793
944364017,2,7334
944364018,2,2985
944364019,1,7052
944364020,1,7263
944364021,2,5018
944364022,2,7301
944364023,2,4013
944364024,1,1242
944364025,2,5113
944364026,1,520
944364027,1,6354
944364028,1,2817
944364029,2,2493
944364030,1,3187
944364031,2,3867
944364032,2,3373
944364033,1,3700
944364034,1,33
944364035,2,2116
944364036,2,7095
944364037,1,895
944364038,2,5920
944364039,2,4664
944364041,2,4495
944364042,1,2197
944364043,2,193
944364044,2,1864
944364045,1,5261
944364046,1,1245
944364047,1,4557
944364048,2,1780
944364049,1,5614
944364050,2,5702
944364051,1,2288
944364052,2,2965
944364053,2,4170
944364054,2,3922
944364055,1,3778
944364056,2,5163
944364057,2,6189
944364058,1,413
944364059,1,6633
944364060,1,4794
944364061,2,5161
944364062,2,2175
944364063,2,7010
944364065,1,6863
944364066,1,5879
944364067,1,4064
944364068,2,2417
944364069,2,1805
944364070,1,6649
944364071,1,723
944364072,2,6055
944364074,2,1423
944364075,1,3612
944364076,2,4084
944364077,1,3512
944364078,1,48
944364079,2,2332
944364080,2,5428
944364081,2,2668
944364082,2,5341
944364083,2,2302
944364084,1,4883
944364085,2,1750
944364086,1,172
944364087,2,906
944364088,1,2028
944364089,2,502
944364090,2,6210
944364091,2,1535
944364092,1,1290
944364093,1,5354
944364094,1,27
944364095,2,1664
944364096,2,6695
944364098,1,4176
944364099,1,1213
944364100,2,5377
944364101,1,1502
944364102,2,6290
944364103,1,3207
944364104,2,943
944364105,2,3878
944364106,1,1199
944364107,1,6230
944364108,1,2083
944364109,1,5125
944364110,2,6462
944364111,2,6898
944364112,1,5855
944364113,2,6794
944364114,1,5382
944364115,1,2521
944364116,1,4715
944364117,1,998
944364118,1,5823
944364119,2,1285
944364120,1,676
944364121,2,5965
944364122,1,4655
944364123,2,5346
944364124,1,4972
944364125,2,39
944364126,2,4750
944364127,1,209
944364128,2,6603
944364129,2,816
944364130,1,6167
944364131,2,3080
944364132,1,4982
944364133,2,2127
944364134,2,2140
944364135,1,90
944364136,1,1355
944364137,2,1304
944364138,1,5478
944364139,2,123
944364140,2,5516
944364141,2,5173
944364142,2,1748
944364143,2,7182
944364144,2,6565
944364145,2,1368
944364146,1,4584
944364147,2,5369
944364148,2,5592
944364149,1,5758
944364150,2,5047
944364151,1,6950
944364152,1,382
944364153,1,4321
944364154,1,5564
944364155,2,4546
944364156,2,2370
944364157,2,2046
944364158,2,559
944364159,1,5944
944364160,1,5712
944364161,2,2495
944364162,1,5858
944364163,2,6739
944364164,2,3396
944364165,2,661
944364166,1,6956
944364167,1,809
944364168,2,4188
944364169,1,2564
944364170,1,4969
944364171,2,4742
944364172,1,458
944364173,2,2429
944364174,2,5986
944364175,1,6881
944364176,2,4386
944364177,1,2810
944364178,1,5939
944364179,1,4477
944364181,2,2448
944364182,1,4016
944364183,2,5915
944364184,1,3327
944364185,1,7151
944364186,2,4958
944364187,2,4204
944364188,1,5030
944364189,2,5143
944364190,2,3043
944364191,2,637
944364192,1,3175
944364193,1,6024
944364194,2,5023
944364195,1,4078
944364196,2,4533
944364197,2,6748
944364198,1,5845
944364199,2,1424
944364200,1,6653
944364201,1,3079
944364202,2,7009
944364203,2,5480
944364204,2,1478
944364205,2,1887
944364206,1,2620
944364207,1,7268
944364208,2,2513
944364209,2,4474
944364211,2,1526
944364212,1,4984
944364213,1,4279
944364214,2,6971
944364215,2,1754
944364216,1,3808
944364217,1,6303
944364218,2,7199
944364219,2,750
944364220,1,5658
944364221,2,4645
944364222,2,1503
944364223,2,844
944364224,2,2872
944364226,2,4943
944364227,2,2119
944364228,2,3317
944364229,2,1910
944364230,1,1162
944364231,1,3390
944364232,1,6159
944364233,2,963
944364234,2,3941
944364235,1,5306
944364236,2,3881
944364237,2,5183
944364238,1,403
944364239,1,5050
944364240,1,2695
944364241,1,2587
944364242,2,4512
944364243,2,1574
944364244,1,6281
944364245,1,3654
944364246,1,2039
944364247,2,6767
944364248,1,780
944364249,2,4746
944364250,2,2732
944364251,1,3336
944364252,1,228
944364253,2,5989
944364254,2,5822
944364255,1,6942
944364256,2,1527
944364257,2,5484
944364258,2,588
944364259,1,6258
944364260,2,6988
944364261,2,152
944364262,1,4299
944364263,2,7034
944364264,2,6550
944364265,2,4273
944364266,2,3144
944364267,1,7001
944364268,2,229
944364269,1,5934
944364270,2,6387
944364271,1,2103
944364272,1,4640
944364273,1,302
944364274,1,4847
944364275,1,924
944364276,2,4917
944364277,1,3517
944364278,2,3299
944364279,1,4432
944364280,1,6366
944364281,2,3710
944364282,1,6278
944364283,1,2639
944364284,1,4193
944364285,2,703
944364286,2,5539
944364287,1,3073
944364288,2,4124
944364289,2,41
944364290,2,1735
944364291,1,2886
944364293,1,3966
944364294,2,3355
944364295,1,1171
944364296,1,195
944364297,2,6683
944364298,2,4928
944364299,1,3964
944364300,1,1956
944364301,1,970
944364302,2,2595
944364303,1,4357
944364304,2,2483
944364305,1,4771
944364306,2,4291
944364307,2,2057
944364308,1,5810
944364309,2,5731
944364310,1,3934
944364311,2,1281
944364312,1,5530
944364313,2,2463
944364314,1,641
944364315,1,770
944364316,1,2400
944364317,2,1319
944364318,2,5359
944364319,2,3652
944364320,2,6486
944364321,2,6745
944364322,2,2310
944364323,2,6995
944364324,2,5735
944364325,2,6268
944364326,1,388
944364327,2,3902
944364328,2,4923
944364329,1,2006
944364330,1,7144
944364331,1,7308
944364332,1,4978
944364333,1,2920
944364334,1,5796
944364335,2,2391
944364337,1,2124
944364338,1,3087
944364339,2,1415
944364340,2,2932
944364341,1,1814
944364342,1,6812
944364343,2,6894
944364344,2,5671
944364345,2,6514
944364346,1,4213
944364347,2,3695
944364349,2,4235
944364350,2,6578
944364351,2,5693
944364352,1,5496
944364353,2,6698
944364354,2,6389
944364355,1,6498
944364356,2,6867
944364357,2,2640
944364358,2,3623
944364359,1,342
944364360,2,6289
944364361,2,1566
944364362,1,7210
944364363,2,6056
944364364,2,2034
944364365,1,4405
944364366,2,326
944364367,2,3209
944364368,2,3980
944364369,2,1697
944364370,1,7080
944364371,1,3419
944364372,2,5601
944364373,2,2850
944364374,2,2318
944364375,2,6145
944364376,1,4401
944364377,2,6361
944364378,1,4341
944364379,2,1779
944364380,2,5767
944364381,2,6906
944364382,2,2616
944364383,2,3227
944364384,1,7156
944364385,2,675
944364386,1,6008
944364387,2,37
944364388,2,1957
944364389,2,5159
944364390,2,4210
944364391,2,4628
944364392,2,4044
944364393,1,4043
944364394,1,4487
944364395,2,3444
944364396,2,5493
944364397,1,5806
944364398,1,1963
944364399,2,6116
944364400,1,2048
944364401,2,1204
944364402,2,70
944364403,1,545
944364404,1,4574
944364405,1,6341
944364406,2,5378
944364407,1,173
944364408,2,3855
944364409,1,5169
944364410,1,4479
944364411,1,2989
944364412,2,7248
944364413,1,1079
944364414,1,6764
944364415,1,6796
944364416,2,6744
944364417,2,2373
944364418,1,727
944364419,1,6822
944364420,2,5255
944364421,1,6113
944364422,2,4125
944364423,2,1343
944364424,2,2486
944364425,1,6505
944364426,1,4859
944364427,1,6464
944364428,1,3437
944364429,2,5919
944364430,2,2170
944364431,2,3866
944364432,1,5082
944364433,1,3720
944364434,2,5638
944364435,2,2661
944364436,2,2045
944364437,2,1159
944364438,2,6591
944364439,1,2375
944364440,2,6545
944364441,1,3074
944364442,2,2916
944364443,1,7055
944364444,1,4250
944364445,1,3511
944364446,1,6883
944364447,2,4490
944364448,2,389
944364449,1,1811
944364450,1,6305
944364451,1,817
944364452,2,3055
944364453,1,3781
944364454,2,428
944364455,2,6997
944364456,2,2546
944364457,1,3184
944364458,1,3235
944364459,1,1451
944364460,2,3518
944364461,2,4709
944364462,1,28
944364463,2,2666
944364464,1,4241
944364465,2,433
944364466,1,3514
944364467,1,1100
944364469,2,2419
944364470,1,4830
944364471,1,1592
944364472,1,4237
944364473,2,1120
944364474,2,4871
944364475,2,141
944364476,2,2828
944364477,1,3888
944364478,1,529
944364479,2,4382
944364480,2,1398
944364481,1,3411
944364482,2,5786
944364484,2,4860
944364485,1,19
944364486,1,357
944364487,1,4138
944364488,1,6571
944364489,1,7096
944364490,1,337
944364491,1,1354
944364492,2,5723
944364493,2,5630
944364494,1,1207
944364495,2,6395
944364496,1,5878
944364497,1,5038
944364498,2,4367
944364499,1,6648
944364500,1,5937
944364501,1,5447
944364502,1,4649
944364503,1,6154
944364504,2,901
944364505,2,3458
944364506,2,4287
944364507,1,2899
944364508,2,7266
944364509,1,671
944364510,1,83
944364511,1,6820
944364512,2,3496
944364513,1,1930
944364514,1,6245
944364515,1,5453
944364517,2,6966
944364518,2,4941
944364519,2,5162
944364520,2,1911
944364521,2,1563
944364522,1,371
944364523,2,3435
944364524,2,2162
944364525,2,2434
944364526,2,2396
944364527,1,5416
944364528,1,122
944364529,2,3550
944364530,2,6331
944364531,2,139
944364532,1,5284
944364533,2,4189
944364534,2,462
944364535,1,1278
944364536,2,2895
944364537,1,6319
944364538,1,4618
944364539,2,3979
944364540,2,5672
944364541,2,2718
944364542,2,4731
944364543,2,4559
944364544,1,2613
944364545,2,6701
944364546,1,4620
944364547,1,4093
944364548,1,4169
944364549,2,3421
944364550,2,1521
944364551,2,7033
944364552,2,829
944364553,2,2558
944364554,2,4776
944364555,2,6917
944364556,2,3245
944364557,1,1091
944364558,1,5817
944364559,1,2581
944364560,1,2508
944364561,1,3440
944364562,2,3082
944364563,1,1673
944364564,2,6769
944364565,1,886
944364566,1,4989
944364567,2,4406
944364568,1,6377
944364569,1,4443
944364570,2,4012
944364571,2,5136
944364572,1,4415
944364573,2,1085
944364574,2,1412
944364575,1,6805
944364576,1,7312
944364577,1,2004
944364578,1,4190
944364579,1,1954
944364580,1,3784
944364581,1,3950
944364582,1,2459
944364583,2,1209
944364584,1,4578
944364585,2,1082
944364586,2,4480
944364587,2,1765
944364588,1,2848
944364589,1,6380
944364590,1,2206
944364591,1,6012
944364592,2,4017
944364593,2,3579
944364594,1,1457
944364595,1,1797
944364596,2,3505
944364597,2,5741
944364598,1,619
944364599,1,3027
944364600,1,5606
944364601,1,245
944364602,2,3495
944364603,2,4823
944364604,2,233
944364605,2,3715
944364606,1,4708
944364607,2,3461
944364608,2,6388
944364609,2,5177
944364610,1,3530
944364611,2,1604
944364612,2,5759
944364613,1,26
944364614,2,1643
944364615,2,6018
944364616,2,7161
944364617,1,2658
944364618,1,3751
944364619,2,5733
944364620,1,3769
944364621,1,1580
944364623,2,439
944364624,2,4820
944364625,1,2155
944364626,1,3663
944364627,2,801
944364628,1,1229
944364629,2,5182
944364630,2,5081
944364631,1,2611
944364632,2,3344
944364633,2,5335
944364634,2,1346
944364635,1,6579
944364636,1,1738
944364637,1,7311
944364638,1,5174
944364639,2,497
944364640,2,6006
944364641,2,2561
944364642,2,3339
944364643,2,5590
944364644,1,5618
944364645,1,1210
944364646,1,2120
944364647,1,1408
944364648,1,5907
944364649,1,1217
944364650,2,2900
944364651,1,1
944364652,2,6197
944364653,2,2878
944364654,2,4918
944364655,1,6478
944364656,1,5277
944364657,2,1064
944364658,2,6342
944364659,1,3219
944364661,1,670
944364662,2,6963
944364663,1,1286
944364664,2,4140
944364665,2,3250
944364666,1,7139
944364667,1,306
944364668,2,6539
944364670,1,2031
944364671,1,1432
944364672,1,3332
944364673,1,3150
944364674,2,1654
944364675,2,6998
944364676,1,3639
944364677,2,5417
944364678,2,2881
944364679,1,6838
944364680,1,7317
944364681,1,7309
944364682,1,2166
944364683,2,5841
944364684,2,1181
944364685,1,2783
944364686,1,307
944364687,2,3884
944364688,2,92
944364689,1,1906
944364690,1,5461
944364691,1,3718
944364692,1,454
944364693,1,5594
944364694,2,1937
944364695,1,3509
944364696,2,2993
944364697,1,2407
944364698,1,2590
944364699,1,188
944364700,1,5720
944364701,1,1775
944364702,1,1784
944364703,2,2301
944364704,2,5401
944364705,2,1295
944364706,1,2071
944364707,1,7028
944364708,2,4229
944364709,2,6315
944364710,2,4759
944364711,1,6612
944364712,2,5719
944364713,2,4385
944364714,2,3198
944364715,2,4575
944364716,2,226
944364717,1,2940
944364718,2,3054
944364719,2,3318
944364720,1,3199
944364721,2,4127
944364722,2,2183
944364723,1,5142
944364724,2,4268
944364725,1,6761
944364726,2,2550
944364727,1,368
944364728,1,2678
944364729,1,2336
944364730,1,7137
944364732,1,6455
944364733,2,305
944364734,1,1761
944364735,2,2610
944364736,1,3292
944364737,2,4079
944364738,1,511
944364739,1,3160
944364740,1,880
944364741,1,97
944364742,1,6317
944364743,1,6828
944364744,2,4992
944364745,2,4499
944364746,2,4143
944364747,2,6062
944364748,2,5533
944364749,1,2441
944364750,1,2858
944364751,1,2929
944364752,1,3497
944364753,1,1655
944364754,2,2408
944364755,2,6532
944364756,2,4588
944364757,2,4061
944364758,2,815
944364759,1,4606
944364760,2,260
944364761,1,134
944364762,1,837
944364763,1,3829
944364764,2,6588
944364765,1,1288
944364766,1,3415
944364767,2,5217
944364768,2,1759
944364769,1,6925
944364770,2,5328
944364771,1,5229
944364772,2,2631
944364773,1,6441
944364774,2,5918
944364775,1,4199
944364776,1,719
944364777,1,4491
944364778,1,3392
944364779,1,5763
944364780,1,441
944364781,2,1231
944364782,1,3510
944364783,2,3308
944364784,2,3289
944364786,1,2416
944364787,1,3807
944364788,1,5167
944364789,1,4832
944364790,1,3137
944364791,2,3148
944364792,1,6079
944364793,2,2037
944364794,1,5545
944364795,1,5389
944364796,2,822
944364797,2,6384
944364798,2,4580
944364799,1,5903
944364800,2,3466
944364801,1,6675
944364802,2,1096
944364803,2,7222
944364804,2,4148
944364805,1,6829
944364806,2,6313
944364807,1,105
944364808,2,6312
944364809,1,5732
944364810,1,1466
944364811,2,4042
944364812,2,1421
944364813,1,2738
944364814,2,5216
944364815,2,2960
944364816,1,4979
944364817,2,885
944364818,1,1515
944364819,2,3397
944364820,2,1513
944364821,2,2820
944364822,1,5005
944364823,2,4806
944364824,1,512
944364825,1,1183
944364826,2,2085
944364827,2,1004
944364828,1,5365
944364829,2,2121
944364830,1,4706
944364831,2,4472
944364832,2,6859
944364833,1,3251
944364834,2,7112
944364835,2,6750
944364836,1,6112
944364837,2,272
944364838,2,6343
944364839,2,1551
944364840,2,3181
944364841,2,3065
944364842,2,7093
944364843,2,1456
944364844,2,4228
944364845,1,1212
944364846,2,5644
944364847,1,6964
944364848,1,3280
944364849,1,2283
944364850,2,1893
944364851,1,6927
944364852,1,4529
944364853,2,1581
944364854,1,971
944364855,2,2187
944364856,1,2473
944364857,2,1614
944364858,1,2624
944364859,1,3365
944364860,2,6708
944364862,2,7170
944364863,2,6632
944364864,2,5995
944364865,2,6784
944364866,2,216
944364867,1,3333
944364868,2,6705
944364869,1,1150
944364870,1,1156
944364871,1,3523
944364872,1,1429
944364873,2,960
944364874,1,6240
944364875,1,4597
944364876,2,5615
944364877,1,3597
944364878,2,4381
944364879,2,6161
944364880,2,6915
944364881,1,3747
944364882,2,4010
944364883,2,5222
944364884,2,4511
944364885,2,6275
944364886,1,863
944364887,1,4099
944364888,2,4107
944364889,2,333
944364890,1,2462
944364891,1,6538
944364892,1,5901
944364893,2,6168
944364894,2,1745
944364895,2,6152
944364896,1,928
944364897,1,1488
944364898,2,57
944364899,1,1050
944364900,2,2539
944364901,1,4538
944364902,1,6570
944364903,1,3883
944364904,2,3508
944364905,2,5598
944364906,2,370
944364907,2,1303
944364908,1,1791
944364909,1,2510
944364910,1,1660
944364911,2,2576
944364912,1,7331
944364913,1,94
944364914,2,6887
944364915,1,6087
944364916,2,4783
944364917,1,2793
944364918,2,6763
944364919,1,6475
944364920,1,6039
944364921,2,1701
944364922,1,5232
944364923,1,3963
944364924,1,4868
944364925,1,5819
944364927,2,4780
944364928,1,6096
944364929,2,6686
944364931,2,1145
944364932,1,3270
944364933,1,71
944364934,2,4379
944364935,1,6408
944364936,1,7022
944364937,1,6961
944364938,2,5528
944364939,2,1307
944364941,1,5241
944364942,2,1679
944364943,1,6842
944364944,2,135
944364945,1,3636
944364946,1,4100
944364947,2,6799
944364948,2,1880
944364949,1,4909
944364950,1,5902
944364951,1,6482
944364952,2,518
944364953,1,6454
944364954,2,6403
944364955,2,3949
944364956,2,1999
944364957,2,1607
944364958,1,1189
944364959,2,1409
944364960,2,889
944364961,1,1413
944364962,1,6479
944364963,1,7145
944364964,1,958
944364965,1,6371
944364966,1,6379
944364967,1,1550
944364968,1,1744
944364970,1,6393
944364971,1,3408
944364972,1,6753
944364973,2,3135
944364974,1,6967
944364975,1,3537
944364976,2,3556
944364977,1,2871
944364978,1,4110
944364979,2,3257
944364980,2,3026
944364981,2,5091
944364982,2,2928
944364983,2,5251
944364984,1,1743
944364985,2,2778
944364986,2,1789
944364987,1,51
944364988,2,594
944364989,2,3527
944364990,1,974
944364991,2,618
944364992,2,1622
944364993,2,704
944364994,2,438
944364995,1,1696
944364996,1,1816
944364997,2,5972
944364998,1,4553
944364999,1,476
944365000,1,3697
944365001,2,1144
944365002,2,5888
944365003,1,597
944365005,1,1275
944365006,2,5538
944365007,2,792
944365008,2,8
944365009,2,5110
944365010,2,5283
944365011,1,899
944365012,2,7142
944365013,2,3264
944365014,2,5499
944365015,1,2925
944365016,1,515
944365017,2,461
944365018,1,6422
944365019,1,6311
944365020,2,6641
944365021,1,1092
944365022,2,6291
944365023,1,4669
944365024,2,2792
944365025,1,274
944365026,1,599
944365027,1,292
944365028,1,6221
944365029,2,1273
944365030,1,3717
944365031,2,6832
944365032,2,708
944365033,1,1610
944365034,2,4309
944365035,1,231
944365036,1,592
944365037,1,3374
944365038,1,3451
944365039,1,1554
944365040,2,1444
944365041,1,4674
944365042,2,747
944365043,1,315
944365044,1,4174
944365045,1,6206
944365046,1,741
944365047,1,4049
944365048,2,243
944365049,1,798
944365050,2,58
944365051,1,823
944365052,1,5157
944365053,1,2292
944365054,2,5151
944365055,2,3841
944365056,1,4297
944365057,2,3644
944365058,1,1081
944365059,2,4114
944365060,2,4558
944365061,2,3261
944365062,2,281
944365063,1,730
944365064,2,4081
944365065,2,7125
944365066,2,3748
944365067,1,2635
944365068,2,1874
