"content_length","spelling_errors_ratio","numberOfLinks","non_markup_alphanum_characters","linkwordscore","image_ratio","html_ratio","frameTagRatio","avglinksize","is_news_1","is_news_.","news_front_page_0","news_front_page_.","news_front_page_1","hasDomainLink_0","hasDomainLink_1","alchemy_category_business","alchemy_category_recreation","alchemy_category_health","alchemy_category_sports","alchemy_category_.","alchemy_category_arts_entertainment","alchemy_category_science_technology","alchemy_category_gaming","alchemy_category_culture_politics","alchemy_category_computer_internet","alchemy_category_law_crime","alchemy_category_religion","alchemy_category_weather","alchemy_category_unknown","lengthyLinkDomain_1","lengthyLinkDomain_0","dummy"
0.026215,0.05668,0.042034,0.026723,0.32,0.010582,0.219690555,0.062372,0.007591,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.062066,0.069853,0.040833,0.038802,0.21,0.009623,0.231999079,0.096228,0.005689,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.00487,0.068966,0.029624,0.009685,0.37,0,0.223952384,0.026502,0.004318,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0.478189,0.041063,0.006405,0.082057,0.03,0.008763,0.188881797,0.018887,0.008632,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.009947,0.020619,0.01201,0.002457,0.54,0.008947,0.297049134,0.139535,0.005605,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0.063413,0.103774,0.01301,0.01773,0.11,0.009292,0.252071984,0.1133,0.004482,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.019894,0.136612,0.033427,0.007574,0.36,0.009551,0.237159519,0.09828,0.003148,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.177909,0.113997,0.077462,0.036119,0.28,0.009111,0.170520155,0.026144,0.004848,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.080095,0.10241,0.044636,0.075979,0.11,0.009444,0.237092909,0.030818,0.005473,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.099472,0.085352,0.014011,0.022068,0.12,0.009028,0.255134566,0.076596,0.005551,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.002383,0.041667,0.007806,0.001731,0.37,0.022491,0.14418866,0.076503,0.002824,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0.02207,0.072222,0.029023,0.008463,0.54,0.009702,0.227221641,0.084922,0.006289,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0.03668,0.141956,0.069456,0.027487,0.34,0.010713,0.240527152,0.036395,0.007092,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.138742,0.113284,0.008607,0.024799,0.06,0.008959,0.263303348,0.065972,0.005824,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0.027666,0.107623,0.009007,0.010498,0.13,0.009298,0.268302058,0.022951,0.004201,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0.068283,0.070632,0.03763,0.014999,0.22,0.009853,0.164852128,0.026059,0.003081,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.071392,0.102,0.02562,0.011907,0.31,0.009078,0.2731898,0.056951,0.006301,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.012745,0.128205,0.095677,0.052142,0.14,0.02097,0.193179302,0.031267,0.003157,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.090457,0.093481,0.041033,0.027804,0.29,0.008933,0.223237425,0.097374,0.007559,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.016061,0.057851,0.014612,0.001289,0.02,0.01471,0.178953438,0.100264,4.2e-05,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0.079577,0.082849,0.032626,0.013518,0.4,0.009342,0.22452021,0.059524,0.007189,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.004041,0.068182,0.070456,0.02087,0.35,0.044527,0.195277815,0.028876,0.006617,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.04041,0.080863,0.033427,0.031478,0.17,0.010605,0.23229186,0.034483,0.00654,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.07564,0.088525,0.013611,0.029536,0.07,0.008944,0.27904123,0.121005,0.004173,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0.071288,0.103139,0.029223,0.018596,0.21,0.00884,0.241212391,0.071906,0.004787,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.098539,0.106264,0.043235,0.02653,0.24,0.0093,0.235315943,0.062564,0.005112,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.004455,0.166667,0.001401,0.002231,0.17,0.009913,0.326793241,0.170213,0.015152,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.059165,0.071721,0.032826,0.026424,0.18,0.009678,0.20124283,0.030769,0.005737,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.005181,0.081633,0.01201,0.010945,0.16,0.02942,0.187795945,0.024919,0.004556,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.013781,0.076336,0.047638,0.01471,0.43,0.011991,0.192046392,0.042745,0.005711,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.138742,0.108571,0.054043,0.030247,0.27,0.008823,0.247838404,0.040865,0.005775,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0.029634,0.045662,0.06205,0.028348,0.44,0.009972,0.184646612,0.056397,0.009257,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.051186,0.08243,0.048439,0.023217,0.2,0.01055,0.187224471,0.016632,0.003521,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0.00114,0.3125,0.003403,0.000539,0.62,0,0.239813011,0.192547,0.006428,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.092322,0.134454,0.004804,0.019028,0.06,0.008776,0.359399734,0.05988,0.006772,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.039063,0.04918,0.014011,0.02238,0.13,0.009635,0.269103272,0.025114,0.008264,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.088488,0.109195,0.019616,0.020788,0.12,0.008928,0.248988356,0.046753,0.003868,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.011087,0.127273,0.043235,0.020134,0.29,0.011827,0.225520202,0.042226,0.00535,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.038338,0.066066,0.113891,0.023419,0.54,0.009644,0.20355929,0.030993,0.00653,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.071081,0.057582,0.049039,0.026703,0.34,0.009629,0.208191695,0.042431,0.00585,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0.01347,0.1,0.040633,0.018437,0.33,0.010204,0.24871601,0.058899,0.005958,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.304217,0.095306,0.027822,0.085549,0.08,0.008774,0.250096396,0.032362,0.006265,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.050876,0.104701,0.045837,0.046804,0.23,0.008883,0.253235682,0.045413,0.009104,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.050979,0.056054,0.043235,0.033258,0.04,0.010201,0.164015858,0.023659,0.00551,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.051186,0.127389,0.009007,0.013306,0.13,0.009171,0.323428257,0.111111,0.00515,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.061962,0.083186,0.031225,0.02063,0.31,0.009085,0.288900246,0.071575,0.008325,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.045384,0.121294,0.010208,0.021091,0.07,0.009282,0.261062551,0.018127,0.005298,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.005492,0.106383,0.038431,0.032055,0.19,0.025198,0.219912979,0.026078,0.004988,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.078956,0.118902,0.033627,0.024208,0.19,0.009227,0.223151689,0.025281,0.004787,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0.014921,0.058824,0.002402,0.001919,0,0.009306,0.336678967,0.038462,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.027976,0.097458,0.019015,0.033537,0.08,0.009677,0.200418021,0.028921,0.004085,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.037509,0.115044,0.015813,0.015859,0.23,0.009759,0.243772493,0.067588,0.008148,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.065071,0.107616,0.004003,0.01596,0.06,0.008775,0.317977056,0.041916,0.005247,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.001451,0,0.015212,0.011421,0.21,0,0.290226957,0.04644,0.004959,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.013159,0.105263,0.019416,0.0103,0.33,0.00904,0.243233429,0.05787,0.005908,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.181018,0.041855,0.090272,0.038975,0.61,0.009084,0.273023812,0.001805,0.040821,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.135323,0.101543,0.065052,0.051555,0.23,0.009209,0.200887333,0.025217,0.006354,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.087556,0.11622,0.079263,0.066131,0.17,0.009653,0.167364355,0.010989,0.004712,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.050565,0.070922,0.030424,0.027415,0.19,0.009243,0.23183902,0.008897,0.006607,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.050565,0.081858,0.014812,0.016033,0.12,0.008987,0.211986416,0.152941,0.003887,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.021967,0.085427,0.120296,0.007271,0.87,0.012333,0.135209524,0.053769,0.009762,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0.052948,0.110849,0.065853,0.024722,0.24,0.010488,0.201798581,0.033099,0.003331,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.066729,0.088288,0.028623,0.035152,0.12,0.009609,0.189744198,0.036488,0.004113,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.040307,0.096685,0.077062,0.122461,0.07,0.008867,0.161792369,0.021785,0.004237,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.006942,0.015385,0.02522,0.005088,0.5,0.013244,0.217381512,0.123839,0.005292,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.269195,0.124638,0.039632,0.062793,0.07,0.008968,0.215596978,0.060104,0.003056,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0.000207,0,0.081665,0.025025,0.55,0,0.190692917,0.016413,0.009358,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.000207,0.4,0.031825,0.009348,0.55,0,0.247167889,0.030965,0.007642,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.092218,0.093231,0.095076,0.102447,0.12,0.010113,0.211960116,0.019009,0.004808,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0.011916,0.028571,0.019816,0.002457,0.62,0.009708,0.301661186,0.050157,0.00449,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.050565,0.079812,0.029624,0.012214,0.33,0.009373,0.234153768,0.061947,0.006359,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.034815,0.09215,0.027822,0.021943,0.18,0.009536,0.261906546,0.023061,0.004452,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.009844,0.12037,0.017014,0.00289,0.58,0.012953,0.203635917,0.080097,0.005801,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.012019,0.075,0.045637,0.026852,0.25,0.016635,0.215372971,0.039729,0.004392,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.037405,0.078261,0.022218,0.014383,0.26,0.009079,0.246833139,0.077869,0.005317,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.109522,0.041879,0.010008,0.025934,0.12,0.008844,0.297250109,0.044693,0.007863,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.079888,0.084211,0.019616,0.017663,0.24,0.008863,0.253315517,0.023377,0.006578,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.019583,0.065089,0.09968,0.027343,0.37,0.013364,0.190638061,0.031566,0.004138,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0.122267,0.072426,0.021217,0.025799,0.22,0.008806,0.280222905,0.038062,0.007953,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0.164646,0.080292,0.026621,0.045789,0.18,0.009018,0.301160628,0.035398,0.011174,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0.095949,0.095052,0.050641,0.06803,0.27,0.008864,0.279772816,0.042553,0.012705,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0.11232,0.094538,0.001401,0.021173,0,0.009049,0.406394255,0.04712,0.001722,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0.101233,0.095937,0.109287,0.230015,0.12,0.009781,0.210555109,0.013805,0.008498,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.019791,0.086735,0.018014,0.019452,0.14,0.016787,0.170767488,0.023883,0.004149,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.112631,0.103984,0.043235,0.031676,0.22,0.009028,0.248994509,0.010526,0.006153,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.000207,0.142857,0.02502,0.034782,0.18,0,0.289180778,0.04119,0.006554,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.000207,0.25,0.01301,0.004208,0.42,0,0.288064372,0.072165,0.00607,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.040203,0.086705,0.054444,0.033753,0.22,0.010945,0.18331318,0.032199,0.005089,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.046213,0.081395,0.047238,0.025847,0.38,0.009649,0.236527693,0.061433,0.00856,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.019376,0.046823,0.042834,0.005054,0.55,0.010657,0.187230637,0.050754,0.003001,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.000311,0.25,0.008207,0.001606,0.39,0,0.262725951,0.055249,0.006235,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0.114392,0.099701,0.07446,0.21517,0.07,0.010149,0.188436546,0.008172,0.006198,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.019376,0.034826,0.08787,0.007579,0.91,0.009813,0.253259375,0.030265,0.143298,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0.13781,0.080285,0.057646,0.127385,0.06,0.010304,0.200736224,0.011634,0.003785,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.046006,0.045918,0.026221,0.022371,0.15,0.009777,0.236573368,0.071795,0.004211,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.019583,0.07027,0.021417,0.008459,0.48,0.009232,0.212887828,0.065217,0.00806,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.047249,0.071749,0.014612,0.012224,0.17,0.009304,0.267837001,0.053977,0.004687,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.00114,0.055556,0.008407,0.000702,0.71,0,0.205705618,0.176471,0.005382,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.085587,0.092348,0.030024,0.016773,0.24,0.009445,0.264998897,0.077739,0.004659,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0.028805,0.089796,0.020416,0.007872,0.33,0.009025,0.252495773,0.026163,0.005262,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.030878,0.077465,0.033427,0.017831,0.23,0.011639,0.094230992,0.008596,0.003444,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.096778,0.10184,0.053843,0.08829,0.08,0.009831,0.197767738,0.020974,0.008338,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.106828,0.104911,0.06225,0.049632,0.2,0.009371,0.195975531,0.025043,0.005501,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.003316,0.032258,0.004203,0.002039,0.11,0.015306,0.300295334,0.022857,0.001252,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0.054088,0.06338,0.114091,0.100634,0.14,0.01154,0.194530114,0.007991,0.005336,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.021138,0.043956,0.135508,0.018956,0.66,0.011026,0.204318792,0.025963,0.007159,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.028598,0.092,0.01301,0.00893,0.21,0.009972,0.263254492,0.096774,0.00516,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.014195,0.030769,0.082466,0.006203,0.74,0.017188,0.186405357,0.049012,0.004551,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0.041343,0.092545,0.145116,0.043457,0.27,0.01849,0.144405441,0.020165,0.003155,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.011709,0.04902,0.004804,0.002034,0.29,0.010189,0.278199596,0.023529,0.006428,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.00114,0.333333,0.004203,0.000726,0.51,0,0.300859039,0.108108,0.004633,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.004352,0.136364,0.010608,0.002501,0.46,0.01069,0.277133943,0.047794,0.004522,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0.05502,0.079229,0.043835,0.048468,0.17,0.010173,0.221249194,0.035642,0.006989,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.039271,0.1,0.019416,0.01005,0.42,0.009532,0.309761537,0.092025,0.011083,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.001036,0.052632,0.009007,0.001476,0.54,0,0.324049387,0.094241,0.004636,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.010051,0.0625,0.093475,0.019928,0.43,0.02447,0.164559448,0.031505,0.005136,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.011191,0.085714,0.026021,0.009137,0.47,0.010954,0.211228537,0.044811,0.007587,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.261009,0.101175,0.032026,0.064698,0.14,0.008978,0.295645417,0.028112,0.008345,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.095016,0.070968,0.023819,0.024655,0.19,0.009045,0.268841029,0.097027,0.006973,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.104238,0.086681,0.044636,0.023808,0.29,0.009477,0.224559312,0.046256,0.00572,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.554865,0.389495,0.001801,0.040548,0.01,0.008779,0.297357992,0.014706,0.014463,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0.048389,0.076577,0.030224,0.016018,0.35,0.008982,0.234246096,0.023499,0.020364,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.084136,0.113154,0.010008,0.016908,0.13,0.008781,0.311428842,0.054054,0.0066,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
